 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Board Outline Contour             Metric units               11-February-2020 11:11

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -1.416      -1.438       0.000
   -1.417      -1.403       0.000
   -1.421      -1.368       0.000
   -1.427      -1.334       0.000
   -1.435      -1.300       0.000
   -1.446      -1.267       0.000
   -1.459      -1.234       0.000
   -1.474      -1.203       0.000
   -1.492      -1.173       0.000
   -1.512      -1.144       0.000
   -1.533      -1.116       0.000
   -1.556      -1.090       0.000
   -1.581      -1.066       0.000
   -1.608      -1.044       0.000
   -1.637      -1.023       0.000
   -1.666      -1.005       0.000
   -1.697      -0.988       0.000
   -1.729      -0.974       0.000
   -1.761      -0.962       0.000
   -1.795      -0.953       0.000
   -1.829      -0.945       0.000
   -1.864      -0.941       0.000
   -1.898      -0.938       0.000
   -1.916      -0.938       0.000
   -1.950      -0.936       0.000
   -1.985      -0.933       0.000
   -2.020      -0.927       0.000
   -2.054      -0.918       0.000
   -2.087      -0.907       0.000
   -2.119      -0.894       0.000
   -2.150      -0.879       0.000
   -2.181      -0.862       0.000
   -2.210      -0.842       0.000
   -2.237      -0.820       0.000
   -2.263      -0.797       0.000
   -2.287      -0.772       0.000
   -2.310      -0.745       0.000
   -2.330      -0.717       0.000
   -2.349      -0.687       0.000
   -2.365      -0.657       0.000
   -2.379      -0.625       0.000
   -2.391      -0.592       0.000
   -2.401      -0.558       0.000
   -2.408      -0.524       0.000
   -2.413      -0.490       0.000
   -2.416      -0.455       0.000
   -2.416      -0.438       0.000
   -2.416       5.158       0.000
   -2.413       5.228       0.000
   -2.406       5.298       0.000
   -2.394       5.367       0.000
   -2.377       5.434       0.000
   -2.356       5.501       0.000
   -2.329       5.565       0.000
   -2.299       5.628       0.000
   -2.264       5.688       0.000
   -2.225       5.746       0.000
   -2.182       5.801       0.000
   -2.135       5.853       0.000
   -2.085       5.902       0.000
   -2.031       5.946       0.000
   -1.975       5.988       0.000
   -1.916       6.025       0.000
   -1.854       6.057       0.000
   -1.790       6.086       0.000
   -1.725       6.109       0.000
   -1.658       6.129       0.000
   -1.590       6.143       0.000
   -1.520       6.153       0.000
   -1.451       6.158       0.000
   -1.416       6.158       0.000
   16.029       6.158       0.000
   16.052       6.159       0.000
   16.075       6.159       0.000
   16.097       6.159       0.000
   16.120       6.160       0.000
   16.142       6.161       0.000
   16.165       6.161       0.000
   16.188       6.162       0.000
   16.210       6.163       0.000
   16.233       6.164       0.000
   16.255       6.166       0.000
   16.278       6.167       0.000
   16.301       6.169       0.000
   16.323       6.170       0.000
   16.346       6.172       0.000
   16.368       6.174       0.000
   16.391       6.177       0.000
   16.413       6.179       0.000
   16.436       6.181       0.000
   16.458       6.184       0.000
   16.481       6.186       0.000
   16.503       6.189       0.000
   16.526       6.192       0.000
   16.548       6.195       0.000
   16.570       6.199       0.000
   16.593       6.202       0.000
   16.615       6.205       0.000
   16.638       6.209       0.000
   16.660       6.213       0.000
   16.682       6.217       0.000
   16.704       6.221       0.000
   16.727       6.225       0.000
   16.749       6.229       0.000
   16.771       6.234       0.000
   16.793       6.238       0.000
   16.815       6.243       0.000
   16.837       6.248       0.000
   16.860       6.253       0.000
   16.882       6.258       0.000
   16.903       6.263       0.000
   16.926       6.269       0.000
   16.947       6.274       0.000
   16.969       6.280       0.000
   16.991       6.286       0.000
   17.013       6.292       0.000
   17.035       6.298       0.000
   17.057       6.304       0.000
   17.078       6.311       0.000
   17.100       6.317       0.000
   17.122       6.324       0.000
   17.143       6.330       0.000
   17.165       6.337       0.000
   17.186       6.344       0.000
   17.208       6.351       0.000
   17.229       6.359       0.000
   17.250       6.366       0.000
   17.272       6.374       0.000
   17.293       6.381       0.000
   17.314       6.389       0.000
   17.336       6.397       0.000
   17.357       6.405       0.000
   17.378       6.413       0.000
   17.399       6.421       0.000
   17.420       6.430       0.000
   17.441       6.438       0.000
   17.462       6.447       0.000
   17.483       6.456       0.000
   17.503       6.465       0.000
   17.524       6.474       0.000
   17.545       6.483       0.000
   17.565       6.492       0.000
   17.586       6.502       0.000
   17.606       6.512       0.000
   17.627       6.521       0.000
   17.647       6.531       0.000
   17.667       6.541       0.000
   17.688       6.551       0.000
   17.708       6.561       0.000
   17.728       6.572       0.000
   17.748       6.582       0.000
   17.768       6.593       0.000
   17.788       6.603       0.000
   17.808       6.614       0.000
   17.828       6.625       0.000
   17.848       6.636       0.000
   17.867       6.647       0.000
   17.887       6.659       0.000
   17.906       6.670       0.000
   17.926       6.682       0.000
   17.945       6.693       0.000
   17.964       6.705       0.000
   17.984       6.717       0.000
   18.003       6.729       0.000
   18.022       6.741       0.000
   18.041       6.753       0.000
   18.060       6.766       0.000
   18.079       6.778       0.000
   18.098       6.791       0.000
   18.116       6.803       0.000
   18.135       6.816       0.000
   18.154       6.829       0.000
   18.172       6.842       0.000
   18.190       6.855       0.000
   18.209       6.869       0.000
   18.227       6.882       0.000
   18.245       6.896       0.000
   18.263       6.909       0.000
   18.281       6.923       0.000
   18.299       6.937       0.000
   18.317       6.951       0.000
   18.335       6.965       0.000
   18.353       6.979       0.000
   18.370       6.993       0.000
   18.388       7.008       0.000
   18.405       7.022       0.000
   18.422       7.037       0.000
   18.439       7.051       0.000
   18.456       7.066       0.000
   18.473       7.081       0.000
   18.490       7.096       0.000
   18.507       7.111       0.000
   18.524       7.126       0.000
   18.541       7.141       0.000
   18.557       7.157       0.000
   18.574       7.172       0.000
   18.590       7.188       0.000
   18.607       7.204       0.000
   18.623       7.219       0.000
   18.639       7.235       0.000
   18.655       7.251       0.000
   18.671       7.267       0.000
   18.687       7.284       0.000
   18.702       7.300       0.000
   18.718       7.316       0.000
   18.733       7.333       0.000
   18.749       7.349       0.000
   18.764       7.366       0.000
   18.779       7.383       0.000
   18.794       7.400       0.000
   18.809       7.417       0.000
   18.824       7.434       0.000
   18.839       7.451       0.000
   18.853       7.468       0.000
   18.868       7.485       0.000
   18.883       7.503       0.000
   18.897       7.520       0.000
   18.911       7.538       0.000
   18.925       7.556       0.000
   18.939       7.573       0.000
   18.953       7.591       0.000
   18.967       7.609       0.000
   18.981       7.627       0.000
   18.994       7.645       0.000
   19.008       7.663       0.000
   19.021       7.682       0.000
   19.035       7.700       0.000
   19.047       7.718       0.000
   19.061       7.737       0.000
   19.074       7.755       0.000
   19.086       7.774       0.000
   19.099       7.793       0.000
   19.111       7.812       0.000
   19.124       7.831       0.000
   19.136       7.850       0.000
   19.149       7.869       0.000
   19.161       7.888       0.000
   19.173       7.907       0.000
   19.185       7.926       0.000
   19.196       7.945       0.000
   19.208       7.965       0.000
   19.219       7.984       0.000
   19.231       8.004       0.000
   19.242       8.023       0.000
   19.253       8.043       0.000
   19.264       8.063       0.000
   19.275       8.083       0.000
   19.286       8.103       0.000
   19.297       8.123       0.000
   19.307       8.142       0.000
   19.318       8.163       0.000
   19.328       8.183       0.000
   19.338       8.203       0.000
   19.348       8.223       0.000
   19.358       8.244       0.000
   19.368       8.264       0.000
   19.378       8.284       0.000
   19.387       8.305       0.000
   19.397       8.325       0.000
   19.406       8.346       0.000
   19.415       8.367       0.000
   19.424       8.388       0.000
   19.433       8.408       0.000
   19.442       8.429       0.000
   19.451       8.450       0.000
   19.459       8.471       0.000
   19.468       8.492       0.000
   19.476       8.513       0.000
   19.484       8.534       0.000
   19.492       8.555       0.000
   19.500       8.577       0.000
   19.508       8.598       0.000
   19.516       8.619       0.000
   19.523       8.640       0.000
   19.531       8.662       0.000
   19.538       8.683       0.000
   19.545       8.705       0.000
   19.552       8.726       0.000
   19.559       8.748       0.000
   19.565       8.769       0.000
   19.572       8.791       0.000
   19.579       8.813       0.000
   19.585       8.834       0.000
   19.591       8.856       0.000
   19.597       8.878       0.000
   19.603       8.900       0.000
   19.609       8.922       0.000
   19.614       8.944       0.000
   19.620       8.965       0.000
   19.625       8.988       0.000
   19.631       9.009       0.000
   19.636       9.031       0.000
   19.641       9.054       0.000
   19.646       9.076       0.000
   19.650       9.098       0.000
   19.655       9.120       0.000
   19.659       9.142       0.000
   19.664       9.164       0.000
   19.668       9.187       0.000
   19.672       9.209       0.000
   19.676       9.231       0.000
   19.680       9.253       0.000
   19.683       9.276       0.000
   19.687       9.298       0.000
   19.690       9.321       0.000
   19.693       9.343       0.000
   19.696       9.365       0.000
   19.699       9.388       0.000
   19.702       9.410       0.000
   19.705       9.433       0.000
   19.707       9.455       0.000
   19.710       9.478       0.000
   19.712       9.500       0.000
   19.714       9.523       0.000
   19.716       9.545       0.000
   19.718       9.568       0.000
   19.720       9.590       0.000
   19.721       9.613       0.000
   19.723       9.635       0.000
   19.724       9.658       0.000
   19.725       9.681       0.000
   19.726       9.703       0.000
   19.727       9.726       0.000
   19.728       9.749       0.000
   19.728       9.771       0.000
   19.729       9.794       0.000
   19.729       9.816       0.000
   19.729       9.839       0.000
   19.729       9.859       0.000
   19.729      42.707       0.000
   19.727      42.777       0.000
   19.720      42.846       0.000
   19.708      42.915       0.000
   19.691      42.983       0.000
   19.669      43.049       0.000
   19.643      43.114       0.000
   19.612      43.177       0.000
   19.578      43.237       0.000
   19.538      43.295       0.000
   19.496      43.350       0.000
   19.449      43.402       0.000
   19.398      43.451       0.000
   19.345      43.495       0.000
   19.289      43.536       0.000
   19.230      43.573       0.000
   19.168      43.606       0.000
   19.104      43.634       0.000
   19.039      43.658       0.000
   18.971      43.678       0.000
   18.903      43.692       0.000
   18.834      43.702       0.000
   18.764      43.707       0.000
   18.729      43.707       0.000
   15.210      43.707       0.000
   15.175      43.709       0.000
   15.141      43.712       0.000
   15.106      43.718       0.000
   15.073      43.727       0.000
   15.039      43.738       0.000
   15.007      43.751       0.000
   14.976      43.766       0.000
   14.945      43.784       0.000
   14.916      43.803       0.000
   14.889      43.825       0.000
   14.863      43.848       0.000
   14.839      43.873       0.000
   14.816      43.900       0.000
   14.796      43.928       0.000
   14.777      43.957       0.000
   14.762      43.985       0.000
   14.749      44.010       0.000
   14.736      44.036       0.000
   14.722      44.061       0.000
   14.707      44.086       0.000
   14.691      44.110       0.000
   14.676      44.134       0.000
   14.659      44.158       0.000
   14.643      44.182       0.000
   14.625      44.205       0.000
   14.608      44.227       0.000
   14.589      44.250       0.000
   14.570      44.272       0.000
   14.551      44.293       0.000
   14.532      44.314       0.000
   14.511      44.335       0.000
   14.491      44.355       0.000
   14.470      44.375       0.000
   14.449      44.394       0.000
   14.427      44.413       0.000
   14.404      44.432       0.000
   14.382      44.450       0.000
   14.359      44.467       0.000
   14.336      44.484       0.000
   14.312      44.501       0.000
   14.288      44.517       0.000
   14.263      44.532       0.000
   14.239      44.547       0.000
