 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Test Fixture Nails     420/420  Selected Drills           11-February-2020 11:11
                        420 Nails,  1606 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1       211.221     4.376   4  AA   (B)  #195  SPKRAMP_CN_R_T_OUT_P T PIN TP3301.1
$1       211.221     3.376   3  AA   (B)  #195  SPKRAMP_CN_R_T_OUT_P T PIN TP3300.1
$2       204.855     4.833   1  AA   (B)  #199  SPKRAMP_CN_R_W_OUT_N T PIN TP3306.1
$2       205.217     2.164   1  AA   (B)  #199  SPKRAMP_CN_R_W_OUT_N T PIN TP3307.1
$3       206.107     0.929   4  AA   (B)  #198  SPKRAMP_CN_R_W_OUT_P T PIN TP3304.1
$3       207.080     1.208   4  AA   (B)  #198  SPKRAMP_CN_R_W_OUT_P T PIN TP3305.1
$4       213.431     2.108   4  AA   (B)  #196  SPKRAMP_CN_R_T_OUT_N T PIN TP3303.1
$4       212.366     2.130   3  AA   (B)  #196  SPKRAMP_CN_R_T_OUT_N T PIN TP3302.1
$5       213.412    -0.450   3  AA   (B)  #518  ORION_COMM_CONN  T PIN TP93E4.1
$6       211.618    -2.185   2  AA   (B)  #515  PPVBUS_ORION_CONN T PIN TP939C.1
$6       211.201    -3.638   3  AA   (B)  #515  PPVBUS_ORION_CONN T PIN TP939D.1
$6       211.909   -11.323   3  AA   (B)  #515  PPVBUS_ORION_CONN T PIN TP93E3.1
$7       206.704    -4.148   3  AA   (B)  #544  ACE_SBU1_CONN    T PIN TP93R8.1
$8       210.942    -8.131   2  AA   (B)  #547  ACE_USB_TOP_CONN_P T PIN TP93D9.1
$9       210.955    -9.290   4  AA   (B)  #546  ACE_USB_TOP_CONN_N T PIN TP93D8.1
$10      212.373    -8.976   4  AA   (B)  #223  ACE_CC2          T PIN TP93D7.1
$11      212.409   -10.105   3  AA   (B)  #519  O_T_DET_BASE     T PIN TP93EN.1
$12      213.390   -23.122   3  AA   (B)  #189  SPKRAMP_CN_L_T_OUT_P T PIN TP3200.1
$12      213.396   -22.004   4  AA   (B)  #189  SPKRAMP_CN_L_T_OUT_P T PIN TP3201.1
