 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Parts List              2760/2760  Selected Parts             11-February-2020 11:11
                                                           Metric units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

R0500         78.785    -7.282  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0501         79.525    -7.282  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0502         79.155    -7.282  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0510        115.948    -3.772  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0511        113.831    -8.901  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0512        113.790    -9.859  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0513         85.738    -6.924    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0514        115.930    -4.162  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0520        113.816    -9.361    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0521        114.736    -9.361    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0522        114.699    -9.860    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0523        114.716    -8.903    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0531        115.679   -21.081    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0532         85.246   -12.530    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0533         84.172   -15.094   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0534        112.411   -21.919   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0610         86.715   -15.842  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0612        196.507   -21.408   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0621        105.616   -23.407   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0630        106.135   -20.072    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0640        106.825   -20.072  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0641        104.578   -22.151  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0642        104.578   -22.841  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0650         95.301   -20.093  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0651         95.991   -20.093    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0661         90.075     4.248  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0662         90.445     4.248  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
