 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -3.566      59.569       0.000
   -3.566      81.536       0.000
   -3.564      81.606       0.000
   -3.557      81.675       0.000
   -3.544      81.744       0.000
   -3.527      81.811       0.000
   -3.506      81.878       0.000
   -3.480      81.942       0.000
   -3.449      82.005       0.000
   -3.414      82.066       0.000
   -3.375      82.124       0.000
   -3.332      82.179       0.000
   -3.285      82.230       0.000
   -3.235      82.279       0.000
   -3.182      82.324       0.000
   -3.125      82.365       0.000
   -3.066      82.402       0.000
   -3.005      82.435       0.000
   -2.941      82.463       0.000
   -2.875      82.487       0.000
   -2.808      82.506       0.000
   -2.740      82.521       0.000
   -2.671      82.530       0.000
   -2.601      82.535       0.000
   -2.566      82.536       0.000
   39.347      82.536       0.000
   39.417      82.539       0.000
   39.487      82.546       0.000
   39.555      82.558       0.000
   39.623      82.575       0.000
   39.690      82.596       0.000
   39.754      82.622       0.000
   39.817      82.653       0.000
   39.877      82.688       0.000
   39.935      82.727       0.000
   39.990      82.770       0.000
   40.042      82.817       0.000
   40.091      82.867       0.000
   40.135      82.920       0.000
   40.176      82.977       0.000
   40.214      83.036       0.000
   40.246      83.098       0.000
   40.274      83.161       0.000
   40.298      83.227       0.000
   40.318      83.294       0.000
   40.332      83.362       0.000
   40.342      83.431       0.000
   40.347      83.501       0.000
   40.347      83.536       0.000
   40.347      87.350       0.000
   40.350      87.420       0.000
   40.357      87.489       0.000
   40.369      87.558       0.000
   40.387      87.626       0.000
   40.408      87.692       0.000
   40.434      87.757       0.000
   40.465      87.819       0.000
   40.500      87.880       0.000
   40.539      87.938       0.000
   40.582      87.993       0.000
   40.628      88.045       0.000
   40.679      88.093       0.000
   40.732      88.138       0.000
   40.788      88.179       0.000
   40.848      88.216       0.000
   40.909      88.249       0.000
   40.973      88.277       0.000
   41.039      88.301       0.000
   41.106      88.320       0.000
   41.174      88.335       0.000
   41.243      88.345       0.000
   41.313      88.350       0.000
   41.347      88.350       0.000
  174.075      88.350       0.000
  174.145      88.348       0.000
  174.214      88.340       0.000
  174.283      88.328       0.000
  174.351      88.311       0.000
  174.417      88.290       0.000
  174.482      88.264       0.000
  174.544      88.233       0.000
  174.605      88.198       0.000
  174.663      88.159       0.000
  174.718      88.116       0.000
  174.770      88.069       0.000
  174.818      88.019       0.000
  174.863      87.966       0.000
  174.904      87.909       0.000
  174.941      87.850       0.000
  174.974      87.788       0.000
  175.002      87.725       0.000
  175.026      87.659       0.000
  175.045      87.592       0.000
  175.060      87.524       0.000
  175.070      87.455       0.000
  175.075      87.385       0.000
  175.075      87.350       0.000
  175.075      80.850       0.000
  175.073      80.780       0.000
  175.065      80.711       0.000
  175.053      80.642       0.000
  175.036      80.575       0.000
  175.015      80.508       0.000
  174.988      80.444       0.000
  174.958      80.381       0.000
  174.923      80.320       0.000
  174.884      80.262       0.000
  174.841      80.208       0.000
  174.794      80.156       0.000
  174.744      80.107       0.000
  174.691      80.062       0.000
  174.634      80.021       0.000
  174.575      79.984       0.000
  174.513      79.952       0.000
  174.450      79.923       0.000
  174.384      79.899       0.000
  174.317      79.880       0.000
  174.275      79.870       0.000
  174.208      79.854       0.000
  174.141      79.833       0.000
  174.076      79.807       0.000
  174.013      79.777       0.000
  173.952      79.743       0.000
  173.894      79.704       0.000
  173.839      79.662       0.000
  173.787      79.616       0.000
  173.738      79.566       0.000
  173.692      79.513       0.000
  173.651      79.457       0.000
  173.613      79.398       0.000
  173.580      79.336       0.000
  173.551      79.273       0.000
  173.527      79.207       0.000
  173.507      79.140       0.000
  173.492      79.072       0.000
  173.482      79.003       0.000
  173.476      78.934       0.000
  173.475      78.890       0.000
  173.475      61.210       0.000
  173.473      61.140       0.000
  173.465      61.071       0.000
  173.453      61.002       0.000
  173.436      60.935       0.000
  173.415      60.868       0.000
  173.389      60.804       0.000
  173.358      60.741       0.000
  173.323      60.680       0.000
