 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Test Fixture Nails     377/377  Selected Drills           01-January-2012 05:54
                        377 Nails,  1318 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1       166.617    86.796   3  A1   (B)  #824  HSIC1_WLAN2SOC_DEVICE_RDY T PIN TB_TP129.1
$2       165.810    85.890   3  A1   (B)  #1166 PMU_GPIO_BT_REG_ON T PIN TB_TP204.1
$3       165.325    86.780   3  A1   (B)  #1114 PMU_GPIO_BT_REG_ON_R T PIN TB_TP13.1
$4       164.470    85.850   3  A1   (B)  #1165 PMU_GPIO_WLAN_REG_ON T PIN TB_TP203.1
$5       164.050    86.780   4  A1   (B)  #1115 PMU_GPIO_WLAN_REG_ON_R T PIN TB_TP11.1
$6       158.790    85.830   3  A1   (B)  #786  JTAG_WLAN_TMS_TX_BLANK T PIN TB_TP73.1
$7       157.740    85.830   4  A1   (B)  #1119 TP_JTAG_WLAN_TCK T PIN TB_TP92.1
$8       156.695    85.800   3  A1   (B)  #1118 TP_JTAG_WLAN_TRST_L T PIN TB_TP93.1
$9       157.110    86.770   4  A1   (B)  #783  JTAG_WLAN_TDI_OSCAR_A T PIN TB_TP81.1
$10      155.620    86.790   4  A1   (B)  #1116 HSIC1_SOC2WLAN_HOST_RDY_R T PIN TB_TP14.1
$11      155.340    85.820   3  A1   (B)  #784  JTAG_WLAN_TDO_OSCAR_B T PIN TB_TP80.1
$12      154.490    86.780   3  A1   (B)  #782  JTAG_WLAN_SEL    T PIN TB_TP82.1
$13      153.640    85.800   3  A1   (B)  #762  OSCAR2RADIO_CONTEXT_A T PIN TB_TP149.1
$14      152.815    86.390   4  A1   (B)  #1117 PMU_GPIO_WLAN_HOST_WAKE T PIN TB_TP187.1
$15      151.470    86.160   2  A1   (B)  #266  VCC_MAIN_GRAPE_RAMP T PIN TB_TP193.1
$16      149.140    86.210   1  A1   (B)  #787  WLAN_TX_BLANK    T PIN TB_TP74.1
$17      147.560    80.440   3  A1   (B)  #797  CUMULUS_S_BCFG_RTCK T PIN TB_TP62.1
$18      148.130    79.560   4  A1   (B)  #796  JTAG_CUMULUS_S_TMS T PIN TB_TP61.1
$19      148.605    80.440   4  A1   (B)  #795  CUMULUS_MS_CK    T PIN TB_TP67.1
$20      150.560    79.420   3  A1   (B)  #1133 CUMULUS_MS_SD    T PIN TB_TP66.1
$21      151.540    79.180   4  A1   (B)  #1141 TP_CUMULUS_S_H_SCLK T PIN TB_TP38.1
$22      151.120    80.250   4  A1   (B)  #1140 TP_CUMULUS_S_H_SDI T PIN TB_TP37.1
$23      152.170    80.480   4  A1   (B)  #1142 TP_CUMULUS_S_H_SDO T PIN TB_TP36.1
$24      153.320    80.460   3  A1   (B)  #271  CUMULUS_S_VDDCORE T PIN TB_TP59.1
$25      152.660    79.570   4  A1   (B)  #272  CUMULUS_S_VDDANA T PIN TB_TP60.1
$26      154.710    78.410   3  A1   (B)  #850  UART1_SOC2BT_RTS_L T PIN TB_TP117.1
$27      155.715    78.420   4  A1   (B)  #847  UART1_BT2SOC_TX  T PIN TB_TP77.1
$28      155.590    79.430   4  A1   (B)  #851  UART1_BT2SOC_RTS_L T PIN TB_TP118.1
$29      156.230    80.380   2  A1   (B)  #1120 PMU_GPIO_CLK_32K_WLAN_R T PIN TB_TP12.1
$30      158.600    79.660   1  A1   (B)  #400  SIMCRD_CLK_CONN  T PIN TB_TP97.1
$31      161.060    80.410   1  A1   (B)  #243  PP3V3_S2R        T PIN TB_TP150.1
$32      162.370    79.030   3  A1   (B)  #404  SIM_TRAY_DETECT  T PIN TB_TP94.1
$33      162.070    77.960   4  A1   (B)  #1123 UART2_WLAN2SOC_TX_R T PIN TB_TP9.1
$34      161.010    78.060   3  A1   (B)  #1121 UART_BB2WLAN_LTE_COEX_R T PIN TB_TP8.1
$35      162.100    76.950   4  A1   (B)  #1122 UART_WLAN2BB_LTE_COEX_R T PIN TB_TP7.1
$36      162.180    75.820   4  A1   (B)  #339  BOARD_TEMP3_P    T PIN TB_TP315.1
