820-3399-A引脚编号网络名称对应表				
引脚编号	X坐标	Y坐标	网络名称	备注
A01	161.06	80.41	PP3V3_S2R        	
B01	172.16	68.7	PPVBUS_E75_USB_CONN 	
B02	170.71	67.88	PPVBUS_E75_USB_CONN 	
B03	170.71	69.14	PPVBUS_E75_USB_CONN 	
B04	170.32	70.83	PP3V0_S2R_HALL_FILT 	
B05	168.857	70.933	PMU_GPIO_MB_HALL1_IRQ 	
B07	168.09	72.69	GND              	
B08	166.34	72.681	GND              	
B09	166.34	70.931	GND              	
B11	164.39	72.58	PP_LDO6_RUIM_1V8_FILT 	
B12	163.91	70.79	PMU_GPIO_MB_HALL2_IRQ 	
B13	166.09	67.23	PPOUT_E75_ACC_ID1_CONN 	
B15	162.78	67.225	SPKRAMP_L2_OUT_N 	
B16	161.41	67.23	SPKRAMP_L2_OUT_P 	
B17	160.62	70.68	SPKRAMP_L1_OUT_P 	
B18	160.175	69.485	SPKRAMP_L1_OUT_N 	
B19	160.14	67.23	PPOUT_E75_ACC_ID2_CONN 	
B20	158.86	67.23	E75_DPAIR2_CONN_N 	
B21	157.77	67.24	E75_DPAIR2_CONN_P 	
B22	157.04	71.04	SPKRAMP_R1_OUT_P 	
B23	156.475	69.895	SPKRAMP_R1_OUT_N 	
B24	156.73	68.64	SPKRAMP_R2_OUT_N 	
B25	156.63	67.23	SPKRAMP_R2_OUT_P 	
B26	155.44	68.71	E75_ACC_DET_CONN_L 	
B27	155.355	67.44	E75_DPAIR1_CONN_N 	
B28	154.085	67.24	E75_DPAIR1_CONN_P 	
B29	152.81	67.71	LED_IO_6_A       	
B30	152.93	69.46	LED_IO_1_B       	
B31	151.845	70.14	LED_IO_2_B       	
B32	152.02	68.57	LED_IO_3_B       	
B33	150.575	70.25	LED_IO_4_B       	
B34	150.75	68.57	LED_IO_5_B       	
B35	149.71	69.31	LED_IO_6_B       	
B36	151.359	67.24	LED_IO_5_A       	
B37	150.31	67.28	LED_IO_4_A       	
B38	149.49	67.92	LED_IO_3_A       	
B39	148.71	67.26	LED_IO_2_A       	
B40	147.53	67.28	LED_IO_1_A       	
B41	148.44	69.35	PPVCC_MAIN_LCD_SW_CONN 	
B42	147.48	70.26	PPVCC_MAIN_LCD_SW 	
B43	146.42	71.9	CLK_32K_SOC2CUMULUS 	
B44	145.17	69.35	PPLED_BACK_REG_A 	
B45	143.84	69.08	PPLED_OUT_A      	
B46	144.16	70.37	PPLED_BACK_REG_B 	
B47	162.48	71.92	GND              	
C01	156.23	80.38	PMU_GPIO_CLK_32K_WLAN_R 	
C03	153.65	77	GPIO_SOC2GRAPE_RESET_L 	
C04	152.73	78.5	GND              	
C05	151.73	77.56	PP5V25_GRAPE     	
